mode_main,distance,density,age,male,education,income,cars,license,bicycles,weekend,green,temp,precip,wind,group
0,0.2,1.43178,68,1,1.0,1.0,1,1,2,1,41.6689317749,0.3,0.3,2.4,0
0,0.6,1.43178,68,1,1.0,1.0,1,1,2,1,41.6689317749,0.3,0.3,2.4,0
1,5.0,0.30886,50,1,1.0,1.0,1,1,5,1,80.9737693137,0.3,0.3,2.4,0
1,5.0,1.4438,50,1,1.0,1.0,1,1,5,1,80.9737693137,0.3,0.3,2.4,0
1,15.0,4.80389,51,0,1.0,1.0,1,1,4,1,29.2109929078,-0.5,0.0,2.8,1
1,15.0,2.33825,51,0,1.0,1.0,1,1,4,1,29.2109929078,-0.5,0.0,2.8,1
1,6.0,2.12937,30,1,0.5,0.5,0,1,0,1,26.8262356233,-0.8,0.05,2.7,0
3,7.5,0.44381,30,1,0.5,0.5,0,1,0,1,26.8262356233,-0.8,0.05,2.7,0
1,16.1,3.1036,41,0,1.0,1.0,1,1,3,1,16.0570365778,0.0,0.05,2.6,1
1,16.1,2.19574,41,0,1.0,1.0,1,1,3,1,16.0570365778,0.0,0.05,2.6,1
0,5.0,0.63444,28,0,1.0,1.0,2,1,2,1,91.6032637815,0.0,0.05,2.6,1
0,1.6,0.53033,43,1,0.5,1.0,1,1,5,1,83.6600722108,-0.5,0.0,2.8,0
0,1.6,0.53033,43,1,0.5,1.0,1,1,5,1,83.6600722108,-0.5,0.0,2.8,0
1,6.8,0.34561,32,0,1.0,0.5,1,1,2,1,63.4177894942,0.3,2.8,2.3,1
1,6.8,0.34561,32,0,1.0,0.5,1,1,2,1,63.4177894942,0.3,2.8,2.3,1
1,14.0,1.11669,50,1,1.0,1.0,1,1,2,1,73.3632622522,0.3,2.8,2.3,0
1,4.0,3.03773,50,1,1.0,1.0,1,1,2,1,73.3632622522,0.3,2.8,2.3,0
1,1.4,1.18179,50,1,1.0,1.0,1,1,2,1,73.3632622522,0.3,2.8,2.3,0
1,25.0,0.40722,43,0,0.5,1.0,2,1,2,1,75.5339993377,0.3,3.2,2.3,1
0,0.5,1.5291,43,0,0.5,1.0,2,1,2,1,75.5339993377,0.3,3.2,2.3,1
1,50.0,0.40722,43,0,0.5,1.0,2,1,2,1,75.5339993377,0.3,3.2,2.3,1
1,5.0,0.23348,43,0,0.5,1.0,2,1,2,1,75.5339993377,0.3,3.2,2.3,1
0,0.4,1.35578,64,0,0.0,0.5,1,0,3,1,46.8510686936,0.8,3.0,3.3,1
0,3.6,1.7052,57,1,0.5,0.5,2,1,2,1,44.6833013436,0.6,2.4,2.5,0
0,3.6,1.5627,57,1,0.5,0.5,2,1,2,1,44.6833013436,0.6,2.4,2.5,0
1,7.0,1.69931,49,1,1.0,1.0,1,1,5,1,36.1971830986,0.0,0.0,2.6,0
2,1.5,3.60066,49,1,1.0,1.0,1,1,5,1,36.1971830986,0.0,0.0,2.6,0
2,1.7,1.69931,49,1,1.0,1.0,1,1,5,1,36.1971830986,0.0,0.0,2.6,0
0,3.4,0.05894,44,0,0.0,0.5,2,1,4,1,94.0954032958,0.3,3.8,8.3,1
